"Year","Tags.List","Count"
2006,"2D",3
2006,"3D",3
2006,"3D Platformer",1
2006,"3D Vision",1
2006,"4X",4
2006,"Action",17
2006,"Action RPG",1
2006,"Action-Adventure",1
2006,"Addictive",4
2006,"Adventure",6
2006,"Aliens",3
2006,"Alternate History",1
2006,"America",1
2006,"Animation & Modeling",1
2006,"Arcade",4
2006,"Atmospheric",12
2006,"Automobile Sim",2
2006,"Base Building",1
2006,"Building",1
2006,"Bullet Hell",1
2006,"Bullet Time",1
2006,"Cartoony",1
2006,"Casual",17
2006,"City Builder",1
2006,"Classic",17
2006,"Clicker",1
2006,"Co-op",5
2006,"Cold War",1
2006,"Collectathon",1
2006,"Colorful",2
2006,"Combat",1
2006,"Comedy",3
2006,"Competitive",1
2006,"Controller",2
2006,"Cult Classic",3
2006,"Cute",3
2006,"Cyberpunk",1
2006,"Dark",1
2006,"Dark Fantasy",2
2006,"Difficult",5
2006,"Dinosaurs",1
2006,"Diplomacy",1
2006,"Driving",2
2006,"Economy",4
2006,"Education",1
2006,"Experimental",1
2006,"Exploration",5
2006,"FPS",6
2006,"Family Friendly",3
2006,"Fantasy",3
2006,"Fast-Paced",1
2006,"First-Person",6
2006,"Flight",3
2006,"Free to Play",1
2006,"Funny",6
2006,"Futuristic",1
2006,"Gore",3
2006,"Gothic",1
2006,"Grand Strategy",2
2006,"Great Soundtrack",8
2006,"Hacking",1
2006,"Historical",7
2006,"Horror",3
2006,"Horses",1
2006,"Immersive Sim",1
2006,"Indie",6
2006,"Isometric",4
2006,"Linear",1
2006,"Local Co-Op",1
2006,"Local Multiplayer",1
2006,"Management",3
2006,"Massively Multiplayer",1
2006,"Match 3",6
2006,"Military",9
2006,"Mod",1
2006,"Moddable",3
2006,"Multiplayer",15
2006,"Naval",3
2006,"Naval Combat",3
2006,"Nostalgia",3
2006,"Offroad",1
2006,"Old School",3
2006,"Online Co-Op",2
2006,"Open World",4
2006,"Perma Death",1
2006,"Physics",4
2006,"Pixel Graphics",1
2006,"Platformer",1
2006,"Point & Click",1
2006,"Post-apocalyptic",1
2006,"Programming",1
2006,"Psychological",1
2006,"Psychological Horror",2
2006,"Puzzle",12
2006,"PvE",1
2006,"RPG",5
2006,"RTS",3
2006,"Racing",2
2006,"Real-Time",3
2006,"Real-Time with Pause",1
2006,"Realistic",3
2006,"Relaxing",2
2006,"Remake",1
2006,"Replay Value",4
2006,"Resource Management",2
2006,"Retro",2
2006,"Roguelike",1
2006,"Sandbox",5
2006,"Sci-fi",7
2006,"Shoot Em Up",2
2006,"Shooter",9
2006,"Simulation",17
2006,"Singleplayer",30
2006,"Space",4
2006,"Space Sim",2
2006,"Story Rich",5
2006,"Strategy",20
2006,"Submarine",3
2006,"Supernatural",1
2006,"Surreal",1
2006,"Survival",1
2006,"Tactical",5
2006,"Tactical RPG",2
2006,"Tanks",2
2006,"Team-Based",1
2006,"Text-Based",1
2006,"Third Person",2
2006,"Third-Person Shooter",1
2006,"Time Management",1
2006,"Top-Down",1
2006,"Top-Down Shooter",1
2006,"Trading",2
2006,"Turn-Based",6
2006,"Turn-Based Combat",1
2006,"Turn-Based Strategy",6
